station_code,station,line_name,C/A,unit,datetime
N333R141,FOREST HILLS 71,EFMR,N333,R141,2854
N334BR341,75 AV,EF,N334B,R341,2850
N335R158,KEW GARDENS,EF,N335,R158,2854
N336R158,KEW GARDENS,EF,N336,R158,2854
N337R255,BRIARWOOD,EF,N337,R255,2850
N338BR128,SUTPHIN BLVD,F,N338B,R128,2854
N338R128,SUTPHIN BLVD,F,N338,R128,2854
N339AR114,PARSONS BLVD,F,N339A,R114,2850
N339R114,PARSONS BLVD,F,N339,R114,2850
N340AR115,169 ST,F,N340A,R115,2850
N340R115,169 ST,F,N340,R115,2850
N342R019,JAMAICA 179 ST,F,N342,R019,2850
N343R019,JAMAICA 179 ST,F,N343,R019,2850
N400AR359,COURT SQ,EMG,N400A,R359,2850
N401R360,21 ST,G,N401,R360,2854
N405R239,GREENPOINT AV,G,N405,R239,2850
N408AR256,NASSAU AV,G,N408A,R256,2850
N409R268,METROPOLITAN AV,GL,N409,R268,2854
N412R299,BROADWAY,G,N412,R299,2854
N414AR316,FLUSHING AV,G,N414A,R316,2854
N414R316,FLUSHING AV,G,N414,R316,2854
N415R286,MYRTLE-WILLOUGH,G,N415,R286,2854
N416R286,MYRTLE-WILLOUGH,G,N416,R286,2854
N417R269,BEDFORD-NOSTRAN,G,N417,R269,2850
N418R269,BEDFORD-NOSTRAN,G,N418,R269,2850
N419R287,CLASSON AV,G,N419,R287,2850
N420BR317,CLINTON-WASH AV,G,N420B,R317,2854
N422R318,FULTON ST,G,N422,R318,2850
N500R020,47-50 STS ROCK,BDFM,N500,R020,2850
N501AR020,47-50 STS ROCK,BDFM,N501A,R020,2850
N501R020,47-50 STS ROCK,BDFM,N501,R020,2850
N502R021,42 ST-BRYANT PK,BDFM7,N502,R021,2850
N503R021,42 ST-BRYANT PK,BDFM7,N503,R021,2850
N504R021,42 ST-BRYANT PK,BDFM7,N504,R021,2850
N505R022,34 ST-HERALD SQ,BDFMNQRW,N505,R022,2850
N506R022,34 ST-HERALD SQ,BDFMNQRW,N506,R022,2850
N507R023,34 ST-HERALD SQ,BDFMNQRW,N507,R023,2850
N508R453,23 ST,FM,N508,R453,2850
N509R203,23 ST,FM,N509,R203,2850
N510R163,14 ST,FLM123,N510,R163,2850
N511R163,14 ST,FLM123,N511,R163,2850
N512R163,14 ST,FLM123,N512,R163,2850
N513R163,14 ST,FLM123,N513,R163,2850
