station_code,station,GTFS_stop_id,C/A,line_name,ct2010,ntaname,ctlabel,geometry,lat,long
J031R006,WOODHAVEN BLVD,J15,J031,JZ,002000,Woodhaven,20,POINT (-73.85157599999999 40.693879),40.693878999999995,-73.851576
J032R006,WOODHAVEN BLVD,J15,J032,JZ,002000,Woodhaven,20,POINT (-73.85157599999999 40.693879),40.693878999999995,-73.851576
J034R007,104 ST,J14,J034,JZ,002600,Richmond Hill,26,POINT (-73.84433 40.69517800000001),40.695178000000006,-73.84433
J035R008,111 ST,J13,J035,J,012400,Richmond Hill,124,POINT (-73.83634499999999 40.697418),40.697418,-73.836345
J037R009,121 ST,J12,J037,JZ,014400,Richmond Hill,144,POINT (-73.828294 40.700492),40.700492,-73.828294
JFK01R535,HOWARD BCH JFK,H03,JFK01,A,071600,Airport,716,POINT (-73.83030100000001 40.660476),40.660476,-73.830301
JFK02R535,HOWARD BCH JFK,H03,JFK02,A,071600,Airport,716,POINT (-73.83030100000001 40.660476),40.660476,-73.830301
JFK03R536,JFK JAMAICA CT1,G05,JFK03,E,024600,Jamaica,246,POINT (-73.801109 40.702147),40.702147,-73.801109
K017R401,CENTRAL AV,M10,K017,M,042300,Bushwick South,423,POINT (-73.927397 40.697857),40.697857,-73.927397
K019R413,KNICKERBOCKER,M09,K019,M,043100,Bushwick North,431,POINT (-73.91971099999999 40.698664),40.698664,-73.91971099999999
K022R402,SENECA AVE,M06,K022,M,054900,Ridgewood,549,POINT (-73.90774 40.702762),40.702762,-73.90774
K024R403,FOREST AVE,M05,K024,M,058900,Ridgewood,589,POINT (-73.903077 40.704423),40.704423,-73.903077
K025R404,FRESH POND RD,M04,K025,M,061301,Ridgewood,613.01,POINT (-73.895877 40.706186),40.706185999999995,-73.895877
K026R100,METROPOLITAN AV,M01,K026,M,061301,Ridgewood,613.01,POINT (-73.889601 40.711396),40.711396,-73.889601
N001R173,INWOOD-207 ST,A02,N001,A,029300,Marble Hill-Inwood,293,POINT (-73.919899 40.868072),40.868072,-73.919899
N002AR173,INWOOD-207 ST,A02,N002A,A,029300,Marble Hill-Inwood,293,POINT (-73.919899 40.868072),40.868072,-73.919899
N003R185,DYCKMAN ST,A03,N003,A,028700,Washington Heights North,287,POINT (-73.92727099999999 40.865491),40.865491,-73.92727099999999
N006AR280,190 ST,A05,N006A,A,028100,Washington Heights North,281,POINT (-73.93418 40.859022),40.859021999999996,-73.93418
N007AR174,181 ST,A06,N007A,A,027300,Washington Heights North,273,POINT (-73.937969 40.851695),40.851695,-73.937969
N009R174,181 ST,A06,N009,A,027300,Washington Heights North,273,POINT (-73.937969 40.851695),40.851695,-73.937969
N010R126,175 ST,A07,N010,A,026300,Washington Heights South,263,POINT (-73.93970400000001 40.84739099999999),40.847390999999995,-73.939704
N011R126,175 ST,A07,N011,A,026300,Washington Heights South,263,POINT (-73.93970400000001 40.84739099999999),40.847390999999995,-73.939704
N012R035,168 ST,A09,N012,AC1,025100,Washington Heights South,251,POINT (-73.939561 40.840719),40.840719,-73.939561
N013R035,168 ST,A09,N013,AC1,025100,Washington Heights South,251,POINT (-73.939561 40.840719),40.840719,-73.939561
N016AR296,163 ST-AMSTERDM,A10,N016A,C,024301,Washington Heights South,243.01,POINT (-73.939892 40.836013),40.836013,-73.939892
N017R331,155 ST,A11,N017,C,023501,Hamilton Heights,235.01,POINT (-73.941514 40.830518),40.830518,-73.941514
N019R101,145 ST,A12,N019,ABCD,023100,Hamilton Heights,231,POINT (-73.944216 40.824783),40.824783000000004,-73.944216
N020R101,145 ST,A12,N020,ABCD,023100,Hamilton Heights,231,POINT (-73.944216 40.824783),40.824783000000004,-73.944216
N022R332,135 ST,A14,N022,BC,021703,Manhattanville,217.03,POINT (-73.947649 40.817894),40.817894,-73.947649
N023R332,135 ST,A14,N023,BC,021703,Manhattanville,217.03,POINT (-73.947649 40.817894),40.817894,-73.947649
N024R332,135 ST,A14,N024,BC,021703,Manhattanville,217.03,POINT (-73.947649 40.817894),40.817894,-73.947649
N025R102,125 ST,A15,N025,ACBD,020901,Morningside Heights,209.01,POINT (-73.952343 40.811109),40.811109,-73.952343
N026R102,125 ST,A15,N026,ACBD,020901,Morningside Heights,209.01,POINT (-73.952343 40.811109),40.811109,-73.952343
N029R333,116 ST,A16,N029,BC,021800,Central Harlem South,218,POINT (-73.954882 40.805085),40.805085,-73.954882
N030R333,116 ST,A16,N030,BC,021800,Central Harlem South,218,POINT (-73.954882 40.805085),40.805085,-73.954882
N034R334,CATHEDRAL PKWY,A17,N034,BC,019702,Central Harlem South,197.02,POINT (-73.958161 40.800603),40.800603,-73.958161
N035R334,CATHEDRAL PKWY,A17,N035,BC,019702,Central Harlem South,197.02,POINT (-73.958161 40.800603),40.800603,-73.958161
N037R314,103 ST,A18,N037,BC,014300,park-cemetery-etc-Manhattan,143,POINT (-73.961454 40.796092),40.796092,-73.961454
