GEO_ID,NAME,DP03_0001E,DP03_0002PE,DP03_0007PE,DP03_0013PE,DP03_0015PE,DP03_0017PE,DP03_0021PE,DP03_0025E,DP03_0027PE,DP03_0028PE,DP03_0029PE,DP03_0031PE,DP03_0041PE,DP03_0042PE,DP03_0043PE,DP03_0045PE,DP03_0062E,DP03_0063E,DP03_0074PE,DP03_0088E,DP03_0092E,DP03_0093E,DP03_0094E,DP03_0096PE,DP03_0097PE,DP03_0098PE,DP03_0099E,DP03_0099PE,DP03_0108PE,DP03_0113PE,DP03_0118PE,tract_id
1400000US36005043400,"Census Tract 434, Bronx County, New York",2976,65.9,34.1,56.9,51.5,55.4,54.8,53.7,29.4,33.1,22.5,11.0,10.7,41.3,7.0,3.6,49189,61821,34.1,21888,27935,43750,38173,91.8,59.9,43.7,317,8.2,11.3,50.6,8.2,043400
1400000US36005043500,"Census Tract 435, Bronx County, New York",226,54.9,45.1,51.6,88.2,84.2,87.8,N,21.3,27.7,38.3,12.8,5.3,38.3,11.7,0.0,-,29635,50.7,12312,-,-,40250,94.2,35.5,65.9,21,5.8,17.0,0.0,0.0,043500
1400000US36005043600,"Census Tract 436, Bronx County, New York",1667,66.5,33.5,70.0,100.0,80.4,47.1,51.9,35.4,18.8,27.4,13.0,11.2,37.5,10.5,1.9,67882,96065,7.1,36096,41542,68056,45547,90.8,70.4,27.0,188,9.2,7.8,15.5,33.0,043600
1400000US36005044200,"Census Tract 442, Bronx County, New York",2975,65.0,35.0,61.4,67.4,70.3,57.4,57.1,41.5,22.7,18.7,12.1,11.6,41.5,7.3,5.3,51389,63869,37.0,24003,29125,40878,44224,89.8,56.7,45.2,383,10.2,9.8,0.0,19.7,044200
1400000US36005044400,"Census Tract 444, Bronx County, New York",3463,65.8,34.2,60.0,80.9,79.9,47.1,49.3,25.5,33.9,20.6,12.0,5.5,42.3,8.6,5.5,73432,79514,16.4,26567,32265,44444,42802,89.3,57.8,40.2,446,10.7,8.9,9.0,11.7,044400
1400000US36005044800,"Census Tract 448, Bronx County, New York",1644,67.6,32.4,65.6,51.2,44.4,38.6,49.3,48.6,22.5,15.2,9.8,7.3,51.6,6.0,8.9,84609,98894,14.1,35946,44096,45347,54464,92.9,78.5,28.7,136,7.1,9.1,20.7,7.5,044800
1400000US36005044901,"Census Tract 449.01, Bronx County, New York",1438,63.0,37.0,50.6,82.7,41.7,42.5,43.5,46.5,16.5,20.5,3.6,16.9,23.1,6.9,3.4,61827,95938,5.2,49555,49338,52398,53692,91.0,71.8,34.6,146,9.0,14.4,45.1,0.0,044901
1400000US36005044902,"Census Tract 449.02, Bronx County, New York",1531,67.8,32.2,59.6,74.5,57.1,45.2,46.3,49.9,20.7,16.9,4.9,12.1,29.8,14.9,4.0,66705,82270,7.3,37926,44750,78095,44052,91.8,76.1,28.5,153,8.2,11.2,47.5,10.3,044902
1400000US36005045101,"Census Tract 451.01, Bronx County, New York",1350,64.5,35.5,53.1,40.5,64.4,47.2,37.2,56.0,9.1,14.0,4.9,14.4,37.9,11.1,6.2,80833,91932,2.9,45841,59889,66944,67000,93.4,83.1,27.1,102,6.6,8.2,23.8,3.8,045101
1400000US36005045102,"Census Tract 451.02, Bronx County, New York",1519,61.6,38.4,52.9,50.6,58.4,29.4,40.0,47.9,9.3,16.6,8.8,4.5,38.8,8.9,3.2,68915,87686,6.0,42663,56758,64468,64205,91.8,79.1,26.3,145,8.2,12.4,34.3,4.6,045102
1400000US36005045600,"Census Tract 456, Bronx County, New York",2873,66.2,33.8,57.8,64.5,76.9,34.7,47.7,30.6,26.2,25.7,11.7,9.6,34.2,5.0,5.9,90590,125937,10.2,39666,38926,63438,57805,97.7,75.2,33.2,76,2.3,3.7,0.0,3.8,045600
1400000US36005045800,"Census Tract 458, Bronx County, New York",3985,45.7,54.3,38.5,73.8,62.5,79.1,67.7,36.5,31.9,17.7,10.4,8.7,42.7,7.4,7.2,24341,27783,63.7,10381,16242,-,36320,98.8,31.8,80.3,70,1.2,0.0,0.0,5.0,045800
1400000US36005046000,"Census Tract 460, Bronx County, New York",2370,45.3,54.7,35.2,59.2,79.9,62.2,49.4,25.7,38.9,20.5,4.2,10.9,40.8,0.0,3.4,30938,50620,46.4,18028,27446,51063,36250,91.1,42.1,56.2,261,8.9,8.9,21.7,7.5,046000
1400000US36005046201,"Census Tract 462.01, Bronx County, New York",24367,58.6,41.4,56.7,87.1,92.2,57.0,51.3,32.4,24.7,34.1,3.5,12.0,40.1,6.2,9.5,50179,63148,12.3,30245,40958,52940,44328,94.8,70.3,45.2,1419,5.2,6.4,15.2,9.8,046201
1400000US36005046202,"Census Tract 462.02, Bronx County, New York",7669,57.6,42.4,40.7,65.8,71.8,53.1,53.2,27.6,28.1,23.2,11.5,9.5,42.0,6.2,2.5,50375,64289,35.4,19248,31483,43220,51000,93.8,50.6,51.9,567,6.2,3.8,28.2,1.5,046202
1400000US36005048400,"Census Tract 484, Bronx County, New York",3481,71.7,28.3,61.7,100.0,89.6,41.8,44.2,25.4,28.8,22.9,11.7,4.5,35.4,3.3,5.5,73600,93979,13.6,30684,35575,46645,47750,90.8,67.9,32.2,376,9.2,7.3,38.6,16.9,048400
1400000US36005050400,"Census Tract 504, Bronx County, New York",116,81.0,19.0,73.5,83.3,62.5,56.4,37.7,21.3,48.9,6.4,13.8,0.0,30.9,11.7,0.0,-,128550,66.7,29156,21683,42125,-,91.0,73.4,20.3,20,9.0,13.8,-,31.8,050400
1400000US36005051600,"Census Tract 516, Bronx County, New York",3408,67.8,32.2,61.9,98.2,95.0,19.8,38.7,52.2,15.5,23.9,3.4,11.8,28.6,8.9,10.6,94519,114623,9.7,51860,62928,68199,79236,95.2,77.6,37.6,195,4.8,5.9,13.8,23.1,051600
1400000US36047000100,"Census Tract 1, Kings County, New York",3955,63.2,36.8,63.0,81.4,83.5,61.4,33.0,78.2,5.8,12.2,0.0,16.1,28.5,3.1,2.1,92401,153634,5.4,80214,81670,117132,86743,86.6,75.8,21.2,600,13.4,12.3,0.0,45.6,000100
1400000US36047000200,"Census Tract 2, Kings County, New York",963,60.3,39.7,42.3,8.5,52.3,64.1,38.6,8.8,32.3,20.7,24.9,6.7,9.3,17.0,3.7,39712,54844,38.2,16545,22639,32875,21905,79.6,33.5,52.8,254,20.4,36.5,39.1,18.5,000200
1400000US36047000301,"Census Tract 3.01, Kings County, New York",3528,64.7,35.3,58.9,92.4,61.0,72.9,33.7,79.1,2.8,15.6,0.5,29.4,14.0,2.9,4.2,143803,289499,1.3,128496,102063,127381,98942,90.9,85.4,16.0,384,9.1,3.2,0.0,31.9,000301
1400000US36047000501,"Census Tract 5.01, Kings County, New York",4040,63.7,36.3,57.7,89.6,100.0,67.7,29.1,74.2,9.8,14.8,0.9,25.6,20.9,10.4,3.0,142922,196402,9.1,80948,72258,138077,103421,97.8,88.4,19.5,97,2.2,1.3,5.9,8.5,000501
1400000US36047000502,"Census Tract 5.02, Kings County, New York",2312,74.6,25.4,73.5,88.2,83.2,67.8,28.3,79.5,3.2,13.9,1.3,28.3,22.4,7.8,0.9,107425,158845,2.0,94497,95378,121683,97727,97.0,86.5,24.7,76,3.0,2.1,22.2,8.0,000502
1400000US36047000700,"Census Tract 7, Kings County, New York",3152,77.1,22.9,69.0,80.5,61.5,66.1,35.2,79.6,2.2,14.6,2.4,30.6,15.7,5.0,3.5,157992,252942,2.4,111513,96250,137472,89559,98.0,91.9,10.7,79,2.0,2.7,12.0,2.0,000700
1400000US36047000900,"Census Tract 9, Kings County, New York",3888,77.8,22.2,71.4,62.3,25.5,75.7,31.6,84.1,5.2,8.1,2.3,36.8,19.9,4.8,1.9,164600,246418,1.5,113784,96295,154637,96179,98.8,92.9,10.9,54,1.2,0.6,0.0,5.9,000900
1400000US36047001100,"Census Tract 11, Kings County, New York",1237,95.9,4.1,88.0,100.0,100.0,70.9,29.7,82.7,3.0,12.6,1.7,35.4,12.3,3.5,7.8,136417,163655,0.4,91285,94712,123542,92708,97.6,92.8,5.9,32,2.4,1.9,16.7,0.0,001100
1400000US36047001300,"Census Tract 13, Kings County, New York",1976,51.3,48.7,51.6,87.4,84.6,59.8,29.6,77.8,4.2,14.9,0.6,29.4,29.8,4.3,6.9,108250,139065,0.0,59133,76813,108155,96875,77.0,66.5,23.5,511,23.0,2.8,0.0,75.7,001300
1400000US36047001500,"Census Tract 15, Kings County, New York",6834,76.6,23.4,64.7,73.0,76.8,68.6,32.1,65.0,11.1,20.0,3.3,20.9,18.0,9.9,4.7,105042,137340,16.6,62256,70924,89783,81581,97.7,76.4,27.3,187,2.3,2.6,5.3,3.6,001500
