station_code,station,GTFS_stop_id,C/A,line_name,NTACode,NTAName,geometry,lat,long,unit
E012R372,18 AV,B19,E012,D,BK28,Bensonhurst West,POINT (-74.00173599999999 40.607954),40.607954,-74.001736,R372
E013R373,20 AV,B20,E013,D,BK28,Bensonhurst West,POINT (-73.99816800000001 40.604556),40.604556,-73.998168,R373
E014R374,BAY PKWY,B21,E014,D,BK28,Bensonhurst West,POINT (-73.993728 40.601875),40.601875,-73.993728,R374
E015R399,25 AV,B22,E015,D,BK29,Bensonhurst East,POINT (-73.986829 40.597704),40.597704,-73.986829,R399
E016R400,BAY 50 ST,B23,E016,D,BK26,Gravesend,POINT (-73.98376500000001 40.588841),40.588840999999995,-73.983765,R400
G001R151,CONEY IS-STILLW,D43,G001,DFNQ,BK23,West Brighton,POINT (-73.98123299999999 40.577422),40.577422,-73.98123299999999,R151
G009R151,CONEY IS-STILLW,D43,G009,DFNQ,BK23,West Brighton,POINT (-73.98123299999999 40.577422),40.577422,-73.98123299999999,R151
G011R312,W 8 ST-AQUARIUM,D42,G011,FQ,BK23,West Brighton,POINT (-73.975939 40.576127),40.576127,-73.975939,R312
G015R312,W 8 ST-AQUARIUM,D42,G015,FQ,BK23,West Brighton,POINT (-73.975939 40.576127),40.576127,-73.975939,R312
H001R175,8 AV,L01,H001,ACEL,MN23,West Village,POINT (-74.002578 40.739777),40.739777000000004,-74.002578,R175
H003R163,6 AV,L02,H003,FLM123,MN23,West Village,POINT (-73.996786 40.73733499999999),40.737334999999995,-73.996786,R163
H005R330,3 AV,L05,H005,L,MN22,East Village,POINT (-73.98612199999999 40.732849),40.732849,-73.986122,R330
H006R330,3 AV,L05,H006,L,MN22,East Village,POINT (-73.98612199999999 40.732849),40.732849,-73.986122,R330
H007AR248,1 AV,L06,H007A,L,MN22,East Village,POINT (-73.981628 40.730953),40.730953,-73.981628,R248
H007R248,1 AV,L06,H007,L,MN22,East Village,POINT (-73.981628 40.730953),40.730953,-73.981628,R248
H008R248,1 AV,L06,H008,L,MN22,East Village,POINT (-73.981628 40.730953),40.730953,-73.981628,R248
H009R235,BEDFORD AV,L08,H009,L,BK73,North Side-South Side,POINT (-73.956872 40.717304),40.717304,-73.956872,R235
H012R268,LORIMER ST,L10,H012,LG,BK73,North Side-South Side,POINT (-73.950275 40.714063),40.714063,-73.950275,R268
H013R249,GRAHAM AV,L11,H013,L,BK90,East Williamsburg,POINT (-73.944053 40.714565),40.714565,-73.944053,R249
H014R249,GRAHAM AV,L11,H014,L,BK90,East Williamsburg,POINT (-73.944053 40.714565),40.714565,-73.944053,R249
H015R250,GRAND ST,L12,H015,L,BK90,East Williamsburg,POINT (-73.94067 40.711926),40.711926,-73.94067,R250
H016R250,GRAND ST,L12,H016,L,BK90,East Williamsburg,POINT (-73.94067 40.711926),40.711926,-73.94067,R250
H017R265,MONTROSE AV,L13,H017,L,BK78,Bushwick South,POINT (-73.93985000000001 40.707739),40.707739000000004,-73.93985,R265
H019R294,MORGAN AV,L14,H019,L,BK77,Bushwick North,POINT (-73.93314699999999 40.706152),40.706152,-73.93314699999999,R294
H022R279,JEFFERSON ST,L15,H022,L,BK77,Bushwick North,POINT (-73.92291299999999 40.706607),40.706607,-73.922913,R279
H023R236,DEKALB AV,L16,H023,L,BK77,Bushwick North,POINT (-73.918425 40.703811),40.703811,-73.918425,R236
H026R137,MYRTLE-WYCKOFF,L17,H026,LM,BK77,Bushwick North,POINT (-73.911586 40.699814),40.699814,-73.911586,R137
H027R137,MYRTLE-WYCKOFF,L17,H027,LM,BK77,Bushwick North,POINT (-73.911586 40.699814),40.699814,-73.911586,R137
H028R266,HALSEY ST,L19,H028,L,QN20,Ridgewood,POINT (-73.904084 40.695602),40.695602,-73.904084,R266
H030R266,HALSEY ST,L19,H030,L,QN20,Ridgewood,POINT (-73.904084 40.695602),40.695602,-73.904084,R266
